"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1967862463896092735","Wed Sep 17 01:47:59 +0000 2025","0","@Ratna42429605 Hai Kak. Mohon maaf atas ketidaknyamanannya. Kakak dapat melakukan beberapa langkah berikut sebelum mengakses Coretax: 1. Pastikan jaringan internet stabil; 2. Lakukan clear cookies dan cache pada browser; 3. Gunakan new private window (mozilla)/new incognito window","1968129775903596734","","Ratna42429605","in","","0","0","0","https://x.com/undefined/status/1968129775903596734","4564565058",
"1968129374852731051","Wed Sep 17 01:46:23 +0000 2025","0","@kring_pajak @DitjenPajakRI @OnlinePajak Min Kita taat lapor dan bayar pajak ada kendala di system udh ke KPP terdekat suruh menghubungi kring pajak langsung yang kukira bebas Pulsa ternyata malah berbayar Tolong bantuin ada kendala ni min di coretax.","1968129374852731051","","kring_pajak","in","","0","1","0","https://x.com/undefined/status/1968129374852731051","1740097874",
"1968128110823625124","Wed Sep 17 01:42:20 +0000 2025","0","@kring_pajak @DitjenPajakRI @OnlinePajak @kring_pajak @DitjenPajakRI @OnlinePajak -Vendor sudah menerbitkan faktur pajak. -Faktur sudah dikirim ke kita. -Tapi saat pelaporan PPN faktur tersebut tidak muncul/terhubung di Coretax (e-Faktur DJP).","1968128356203004317","","couocalm","in","","0","1","0","https://x.com/undefined/status/1968128356203004317","1740097874",
"1968127668613943637","Wed Sep 17 01:39:36 +0000 2025","0"," Pusat Informasi Coretax DJP #KawanPajak bingung soal Coretax? Jawaban atas pertanyaanmu bisa langsung ditemukan di https://t.co/7nZS6wAfQ4 Daftar pertanyaan dan jawabannya akan terus diperbarui secara berkala. https://t.co/ob0GQ55WOA","1968127668613943637","https://pbs.twimg.com/media/G1AxqbYagAAB3MS.jpg","","in","","0","0","0","https://x.com/undefined/status/1968127668613943637","1368755100",
"1968126449757700105","Wed Sep 17 01:34:46 +0000 2025","0","Daily ngatain CORETAX kontoloyo jancok","1968126449757700105","","","in","","0","0","0","https://x.com/undefined/status/1968126449757700105","46534038",
"1967842367232421903","Wed Sep 17 01:28:18 +0000 2025","0","@cintakucoupsjin Hai Kak. Mohon maaf atas ketidaknyamanan yang dialami. Untuk saat ini belum ada pemberitahuan resmi terkait error/permasalahan tersebut. Terkait hal tersebut Kakak dapat mencoba langkah berikut sebelum mengakses Coretax kembali: 1. Clear cache &amp; cookies pada browser; 2.","1968124822447431829","","cintakucoupsjin","in","","0","1","0","https://x.com/undefined/status/1968124822447431829","4564565058",
"1967862913760457030","Wed Sep 17 01:24:08 +0000 2025","0","@Hnyhnyh69 Hai Kak. Mohon maaf atas kendala yang dialami. Silakan Kakak dapat melakukan langkah berikut sebelum mengakses laman Coretax: 1. Clear cookies dan cache pada browser; 2. Gunakan browser lain; 3. Gunakan private window (Mozilla)/incognito window (Chrome); 4. Gunakan jaringan","1968123773405872351","","Hnyhnyh69","in","","0","0","0","https://x.com/undefined/status/1968123773405872351","4564565058",
"1967451147972775988","Wed Sep 17 01:23:16 +0000 2025","0","@chocoa_milk Hai Kak. Permohonan pemindahbukuan yang diterima sejak penerapan Coretax ditindaklanjuti sesuai dengan ketentuan PMK Nomor 81 Tahun 2024. Pembayaran yg tidak dapat diajukan Pbk diatur di pasal 109 ayat (3) PMK 81 Tahun 2024. Apabila pembayaran Kakak termasuk pada Pasal 109","1968123556669296959","","chocoa_milk","in","","0","0","0","https://x.com/undefined/status/1968123556669296959","4564565058",
"1967863117461033295","Wed Sep 17 01:19:02 +0000 2025","0","@wah_ayuk Hai Kak. Mohon maaf atas ketidaknyamanannya. Silakan Kakak dapat melakukan langkah berikut sebelum mengakses laman Coretax: 1. Clear cookies dan cache pada browser; 2. Gunakan browser lain; 3. Gunakan private window (Mozilla)/incognito window (Chrome); 4. Gunakan jaringan","1968122489256710338","","wah_ayuk","in","","0","0","0","https://x.com/undefined/status/1968122489256710338","4564565058",
"1967789238570848399","Wed Sep 17 01:10:15 +0000 2025","0","@aneendda Hai Kak. Mohon maaf atas ketidaknyamanannya. Apakah masih mengalami kendala yang sama? Sebelum mengakses coretax Kakak dapat melakukan langkah berikut: 1. Pastikan koneksi internet stabil; 2. Clear cache &amp; cookies pada browser yang digunakan; 3. Silakan coba","1968120279760244969","","aneendda","in","","0","1","0","https://x.com/undefined/status/1968120279760244969","4564565058",
"1968118112940855396","Wed Sep 17 01:01:38 +0000 2025","0","Mau Hapus NPWP? Nggak Perlu ke KPP Gak perlu repot datang ke kantor pajak lagi untuk hapus NPWP! Sekarang prosesnya bisa dilakukan melalui Coretax https://t.co/SY2JSXDH22 #PajakTumbuhIndonesiaTangguh https://t.co/9A898hpdgH","1968118112940855396","https://pbs.twimg.com/amplify_video_thumb/1968118002815279104/img/E65DPfoZ4a6I_u5A.jpg","","in","","0","1","0","https://x.com/undefined/status/1968118112940855396","1362231772444987395",
